geo,time,education,emp_high_tech,gdp,inv,migration,pop,pop_dens,tourists,unemp,wages
BG33,2014,27.0,1.1,10600.0,996.18,-0.1,638.0,66.5,798455.0,12.6,1819.36
BG33,2015,25.4,1.4,10900.0,1365.83,-0.4,630.0,65.5,835959.0,10.3,1925.39
BG33,2016,25.5,1.9,11200.0,1097.89,-0.5,622.2,64.7,1036651.0,9.7,2032.25
BG33,2017,26.9,1.9,11800.0,1085.28,-0.1,614.8,64.3,1100768.0,9.4,2241.01
BG33,2018,25.3,1.9,12500.0,1418.22,1.1,607.2,64.0,1205766.0,7.4,2478.74
BG33,2019,23.2,1.6,12900.0,1127.1,1.5,601.5,63.7,1188759.0,5.9,2675.14
BG34,2014,20.9,1.4,10900.0,1713.25,-0.1,692.8,54.8,936832.0,11.9,2144.5
BG34,2015,21.9,1.8,11000.0,1466.14,-0.6,683.9,54.8,914624.0,10.4,2162.56
BG34,2016,21.8,1.5,12300.0,1047.99,-1.3,674.7,53.6,1121474.0,7.9,2355.78
BG34,2017,21.7,1.2,12900.0,1273.5,-1.0,665.6,53.2,1175421.0,7.0,2589.39
BG34,2018,21.5,1.0,12800.0,1587.92,-1.6,656.0,52.9,1252649.0,5.4,2806.58
BG34,2019,21.4,1.0,12600.0,1282.45,-2.0,646.9,52.5,1345581.0,4.0,2829.68
BG41,2014,37.5,6.7,20300.0,3769.57,2.5,1456.9,105.8,785654.0,8.9,8707.09
BG41,2015,38.6,7.7,21500.0,3644.65,2.2,1442.4,107.1,823070.0,6.7,9464.44
BG41,2016,39.4,8.0,22500.0,4049.46,1.2,1429.1,104.7,921087.0,5.4,10227.62
BG41,2017,39.2,7.6,23800.0,4628.06,0.8,1415.6,104.4,1040081.0,3.3,11393.24
BG41,2018,39.8,7.9,25200.0,4596.56,1.4,1401.4,104.1,1081909.0,2.6,12668.12
BG41,2019,40.5,7.8,27900.0,5999.58,0.5,1388.6,103.7,1126008.0,2.3,13981.65
BG42,2014,21.4,1.8,8600.0,1410.15,-0.2,964.0,66.3,162568.0,12.0,2331.34
BG42,2015,21.5,1.9,9300.0,1364.69,-1.0,950.7,66.0,180294.0,9.2,2491.35
BG42,2016,21.5,1.9,9700.0,1774.93,-1.4,936.4,64.7,191092.0,7.1,2713.99
BG42,2017,22.2,1.8,10300.0,1557.1,0.1,923.8,64.3,208310.0,5.2,3014.33
BG42,2018,22.7,2.0,11000.0,1613.5,0.9,912.6,63.9,219107.0,4.2,3361.86
BG42,2019,22.5,2.7,11600.0,1743.99,3.7,903.5,63.7,240079.0,3.0,3667.83
CH01,2014,38.7,5.4,43700.0,10958.438373333323,12.1,1025.4,188.1,3073955.0,7.5,25124.92172086722
CH01,2015,39.2,5.1,44700.0,10958.438373333323,11.3,1041.3,191.1,3073955.0,7.5,25124.92172086722
CH01,2016,40.9,4.9,45300.0,10958.438373333323,8.5,1052.8,194.2,2754784.0,7.6,25124.92172086722
CH01,2017,42.2,5.5,44700.0,10958.438373333323,6.6,1062.2,196.4,3000073.0,7.8,25124.92172086722
CH01,2018,43.6,5.9,46200.0,10958.438373333323,4.4,1069.9,198.2,3147837.0,7.5,25124.92172086722
CH01,2019,43.7,5.8,44700.0,10958.438373333323,4.1,1076.2,199.7,3231000.0,7.5,25124.92172086722
CH02,2014,36.3,6.5,41400.0,10958.438373333323,8.5,1202.1,185.8,2118056.0,4.5,25124.92172086722
CH02,2015,37.5,6.1,43000.0,10958.438373333323,7.7,1210.0,187.6,2118056.0,4.4,25124.92172086722
CH02,2016,37.7,6.6,42200.0,10958.438373333323,7.9,1215.0,189.8,1910102.0,4.6,25124.92172086722
CH02,2017,39.4,7.1,42200.0,10958.438373333323,3.8,1217.3,191.2,2051172.0,4.2,25124.92172086722
CH02,2018,39.7,6.9,42900.0,10958.438373333323,3.1,1217.9,192.1,2184940.0,4.3,25124.92172086722
CH02,2019,40.4,7.0,42200.0,10958.438373333323,3.9,1218.7,193.0,2216720.0,3.8,25124.92172086722
CH03,2014,39.7,7.8,47000.0,10958.438373333323,9.5,743.5,569.7,700841.5,4.6,25124.92172086722
CH03,2015,40.6,7.7,49000.0,10958.438373333323,8.7,749.6,575.9,700841.5,4.3,25124.92172086722
CH03,2016,41.7,7.7,49500.0,10958.438373333323,9.6,754.1,587.1,627640.0,4.9,25124.92172086722
CH03,2017,43.1,7.9,50600.0,10958.438373333323,6.4,758.1,593.1,691825.0,4.4,25124.92172086722
CH03,2018,44.6,7.4,51200.0,10958.438373333323,5.9,761.0,598.0,709858.0,4.2,25124.92172086722
CH03,2019,45.9,7.8,49500.0,10958.438373333323,6.8,764.0,603.0,722240.0,3.5,25124.92172086722
CH04,2014,45.8,7.4,56100.0,10958.438373333323,10.1,975.9,864.5,2265678.5,4.1,25124.92172086722
CH04,2015,48.4,6.7,57600.0,10958.438373333323,9.9,987.9,876.8,2265678.5,4.1,25124.92172086722
CH04,2016,50.8,7.0,56800.0,10958.438373333323,10.3,998.8,893.1,2103039.0,3.9,25124.92172086722
CH04,2017,51.6,7.2,57300.0,10958.438373333323,6.9,1008.0,904.6,2239836.0,4.4,25124.92172086722
CH04,2018,52.4,7.2,59300.0,10958.438373333323,7.1,1016.6,914.5,2310333.0,4.3,25124.92172086722
CH04,2019,54.3,7.9,57300.0,10958.438373333323,8.5,1027.2,925.1,2291521.0,4.0,25124.92172086722
CH05,2014,33.2,4.7,39700.0,10958.438373333323,6.7,768.3,100.7,1153354.0,3.5,25124.92172086722
CH05,2015,34.2,4.1,40800.0,10958.438373333323,5.7,771.7,101.6,1153354.0,3.9,25124.92172086722
CH05,2016,35.2,4.3,40900.0,10958.438373333323,5.5,773.3,102.7,1053836.0,4.0,25124.92172086722
CH05,2017,36.4,4.3,40700.0,10958.438373333323,3.8,773.6,103.4,1093041.0,3.7,25124.92172086722
CH05,2018,38.2,4.6,41200.0,10958.438373333323,3.7,774.0,104.0,1213667.0,3.6,25124.92172086722
CH05,2019,39.1,5.0,40800.0,10958.438373333323,4.7,774.4,104.6,1226454.0,3.4,25124.92172086722
CH06,2014,36.5,4.7,44100.0,10958.438373333323,7.4,527.8,182.4,1550102.5,3.7,25124.92172086722
CH06,2015,37.6,5.1,45500.0,10958.438373333323,7.5,531.8,184.3,1550102.5,3.4,25124.92172086722
CH06,2016,41.9,6.3,45400.0,10958.438373333323,7.7,534.9,186.9,1434921.0,3.4,25124.92172086722
CH06,2017,43.3,5.9,45600.0,10958.438373333323,5.5,536.9,188.7,1513964.0,2.9,25124.92172086722
CH06,2018,44.3,6.2,46200.0,10958.438373333323,5.5,539.2,190.4,1605858.0,2.9,25124.92172086722
CH06,2019,42.9,5.8,45500.0,10958.438373333323,4.3,540.9,191.9,1586241.0,2.7,25124.92172086722
CH07,2014,33.2,4.6,46900.0,10958.438373333323,11.0,225.4,127.1,524386.0,7.1,25124.92172086722
CH07,2015,36.8,5.3,49500.0,10958.438373333323,5.5,226.9,128.2,524386.0,6.9,25124.92172086722
CH07,2016,35.8,4.6,49100.0,10958.438373333323,7.4,227.3,129.2,501553.0,6.9,25124.92172086722
CH07,2017,38.0,4.4,47800.0,10958.438373333323,-0.6,227.0,129.5,526330.0,6.0,25124.92172086722
CH07,2018,41.1,4.2,49700.0,10958.438373333323,0.7,225.9,129.4,524036.0,6.6,25124.92172086722
CH07,2019,40.0,4.0,49100.0,10958.438373333323,-3.1,224.5,128.9,524736.0,6.8,25124.92172086722
CY00,2014,40.3,2.9,21600.0,2325.97,-17.4,571.5,92.5,1935641.0,16.1,7900.99
CY00,2015,40.5,3.0,22900.0,2302.78,-2.4,558.6,92.0,1874323.0,14.9,7929.14
CY00,2016,41.9,3.0,24900.0,3429.08,2.9,555.5,92.4,2268176.0,13.0,8231.9
CY00,2017,42.5,3.1,26400.0,4223.93,7.2,564.0,93.3,2488611.0,11.1,8840.01
CY00,2018,44.1,3.2,27600.0,4070.87,9.3,568.2,94.4,2665743.0,8.4,9480.0
CY00,2019,44.7,2.8,29100.0,4392.27,10.0,572.0,95.7,2689344.0,7.1,10306.2
CZ01,2014,40.3,9.5,51400.0,10731.33,10.7,841.7,2577.6,5315054.0,2.5,17233.91
CZ01,2015,40.5,8.4,54200.0,12696.95,4.8,845.9,2604.7,5714835.0,2.8,18128.52
CZ01,2016,43.3,9.7,55800.0,12586.78,8.1,843.3,2626.8,6110762.0,2.2,19152.59
CZ01,2017,45.6,9.2,58700.0,13869.18,8.5,846.3,2654.7,6562518.0,1.7,21387.18
CZ01,2018,46.4,9.7,62300.0,17864.51,8.5,851.0,2683.7,6670706.0,1.3,24338.75
CZ01,2019,45.5,10.3,64600.0,18377.72,9.8,856.6,2714.3,6803741.0,1.3,26022.28
CZ02,2014,21.7,5.0,20900.0,5173.92,8.2,877.6,121.1,183809.0,5.1,6432.82
CZ02,2015,21.6,4.7,21800.0,5310.64,7.6,876.1,122.3,208289.0,3.5,6883.28
CZ02,2016,21.4,4.6,22800.0,5866.24,7.5,870.5,124.4,212547.0,3.1,7439.63
CZ02,2017,21.9,4.7,24300.0,6336.51,8.7,869.8,125.6,243368.0,2.1,8462.77
CZ02,2018,23.6,4.4,24700.0,8448.36,11.3,871.6,127.0,275121.0,2.0,9571.61
CZ02,2019,23.2,4.5,26800.0,9707.56,10.5,877.1,128.5,274537.0,1.3,10492.17
CZ03,2014,17.6,3.0,20100.0,3703.01,1.9,813.1,71.0,567487.0,5.5,6649.55
CZ03,2015,18.7,3.4,20800.0,3997.1,2.3,806.4,71.1,646426.0,3.9,7057.26
CZ03,2016,19.1,3.9,21300.0,3927.31,2.4,800.2,70.9,701932.0,3.1,7503.26
